,text
30,"1. Aos 11 anos mais ou menos, minha mãe me botou num curso (lembro que não tinha Windows na máquina, eu ficava digitando no DOS)
2. Quando entrei no ensino médio, com 15 anos
3. Esse aos 15 anos era meu, minha mãe não sabia mexer, mas ficava na sala
4. Não, só na adolescência https://t.co/C1QMqWaciC"
31,acho que odiei esse windows 11
32,tô adorando esse border radius nas janelas do Windows 11 hahaha
33,Updates do Windows 11 melhoram experiência de jogar no PC https://t.co/Yv3Az23OQG https://t.co/fRvynthdxF
34,"Vou ter que reinstalar o windows 11 porque, pra variar, ele buga. O bug, desde a semana passada, é o seguinte: abro o editor de vídeo e tudo do windows trava. Todos os programas continuam normalmente, só o explorer.exe trava."
35,"@1ilhas 1 - DOS 6.2/Windows 3.11 - 1998
2 - 2002
3 - 2002
4 - Na infância não, mas quando tive o primeiro computador, já tive acesso a discada, incríveis 33 kbps num softmodem da Agere's"
36,"Notebook Lenovo IdeaPad 3i Intel Celeron N4020 Dual Core, 4GB, SSD 128GB, Windows 11, 1...

😃 REDUZIU e CUSTA: R$ 2.199,90 (-26.67%) 

📉 QUEDA de R$ -800,00

Total Disponível: 127 🔥

😴 Já custou isso

🛡️ f32a43be9f3b3b090b35496e22e5624a https://t.co/9LceFAvLTu"
37,Updates do Windows 11 melhoram experiência de jogar no PC https://t.co/PPL9yTrjVp https://t.co/Msbe3L5DD7
38,seloko Windows 11 tá bonito demais
39,Updates do Windows 11 melhoram experiência de jogar no PC https://t.co/WaWzblWi67 https://t.co/gwvFwoRNiw
40,"A funcionalidade que permite usar apps Andoid no Windows 11 já está disponível nos EUA, mas os requisitos podem afastar alguns utilizadores. https://t.co/28oegASYsd"
41,Depois desse windows 11 meu notebook simplesmente não funciona mais
42,Updates do Windows 11 melhoram experiência de jogar no PC https://t.co/fTbinHTH5U
43,"Quem usa o Windows 11 aí? É bom negócio atualizar o 10?

iMackers favor não tumultuar"
44,Updates do Windows 11 melhoram experiência de jogar no PC  https://t.co/lIBOQE5q2B
45,"Gente, vale a pena mudar para o Windows 11?"
46,Windows 11 vai forçar usuários a criar contas da Microsoft https://t.co/PjBEq1qJaH
47,-)* SE SEU WINDOWS FOR JÁ 11 VERIFIQUE SE JA VEIO COM CHIP SSD DE MEMÓRIA; SE NÃO PONHA O TANTO DE MEMÓRIA QUE VC PUDER POR E MANDE O TECNICO CONFIGURAR PRA NÃO ATUALIZAR E VC TERÁ UM FOGUETE VOANDO PARA COMPRAS FRETE ZERO AMAZON E O QUE VC NÃO ACHAR TEM TURMA MERCADOLIVRE
48,"-)* NAO SOFRAM COM NOTEBOOK

-)*VÃO A UM TÉCNICO DE CONFIANÇA; SE SEU NOTEBOOK E WINDOWS 10, PONHA CHIP DE SEGURANÇA CPM2, MANDE POR O WINDOWS NOVO 11, PONHA CHIP SSD DE MEMÓRIA, E MANDE CONFIGURAR PRA NÃO ATUALIZAR WINDOWS; VOCÊ TERÁ UM FOGUETE P/COMPRAR NA PAZ AMAZON FRETE ZERO"
49,@ActualidadRT No será Windows 11??
50,"-)* VOCÊ QUE COMPROU NOTEBOOK POSITIVO, O MENINO PRODÍGIO DA DELL OU NOTEBOOK LG, PONHA CHIP SSD COM TÉCNICO DE CONFIANÇA CONFIRMADA NA SUA PRAÇA E MANDE CONFIGURAR PRA NÃO ATUALIZAR O WINDOWS, SEJA 10 OU O NOVO 11 , E E SÓ TECLAR NA PAZ https://t.co/adL1cWcZ3m"
51,"Notebook Samsung Book I3 8GB 256GB SSD 15.6 Windows 11 Cinza Chumbo 😉

Preço: R$ 3.399,00 em até 10x R$ 339,90 sem juros

Compre aqui:  https://t.co/wCJr1PjEtb https://t.co/hBS1locjAb"
52,dps desse windows 11 meu computador ta parecendo o que eu usava antes todo fudido levando 35 horas pra carregar as coisas nossa vsf
53,"Notebook Lenovo Ultrafino IdeaPad 3i i3-10110U 4GB 256 GB SSD Windows 11 15.6"" 82BS000JBR Prata 😉

Preço: R$ 2.849,00 em até 10x R$ 284,90 sem juros

Compre aqui: https://t.co/YucWvLr5Kb https://t.co/q7CPGIwFQF"
54,"Este guia de migração para a nuvem foi criado para profissionais de TI responsáveis por executar aplicações, bancos de dados e servidores na infraestrutura local. https://t.co/ZkLCmDgNjE #sqlserver #windows"
55,@DJ_PRMF A unuca coisa que pus do windows 11 foi o fundo xD
56,"Coisas que irritam: o facto que o Windows 11 ainda não sabe ""agendar"" automaticamente a otimização/desfragmentação automática. 😒
(sim, esta configuração não funciona, apesar de existir) https://t.co/fTdyhlA0Jp"
57,"ENTJ:
Windows 11
Elegante, atraente, moderno, foda, confiante e faz tudo https://t.co/Mn1esoCwde"
58,@viniadelst Seu Windows é o 11? Meu tbm está assimmm aaaa.
59,"E é ai q o meu ranço se instalou feito Windows 11 pra ficar: Mesmo sabendo q ele é um excelente manipulador, TODO MUNDO NA CASA É APAIXONADO POR ELE E BEIJA O CHÃO ONDE ELE PASSA.

ISSO ME DÁ UM ÓDIO!!!!

Eu acho q por causa dele, o povo não sente ódio da Eloala, mas tem da Nat."
60,"@PupilloWL RECOMENDADOS:

Requer um processador e sistema operacional de 64 bits

SO: Windows 10

Processador: Intel Core i7

Memória: 16 GB de RAM

Placa de vídeo: Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB

DirectX: Versão 11

Armazenamento: 65 GB de espaço disponível"
61,"vou mudar o windows do meu computador do 10 pro 11, espero que seja bom que não me deixe bugada"
62,Windows 11 e ruim até o paint
63,"@_thcerutti @jesstemporal É o gerenciador de pacotes oficial do Windows, ele já vem instalado no Windows 11 mas também dá pra usar no Windows 10, é bem bacana e fácil de usar"
64,"@_thcerutti @jesstemporal Pra quem já tem o Windows 11, basta usar o comando 'winget install -e --id Git.Git' que instala diretamente da Windows Store. 
Também é possível instalar via Chocolatey, com o comando 'choco install git'"
65,"Acabei de instalar windows 11 na minha máquina, acho que vai verdadeiramente me ajudar a trabalhar com as novas funções dele"
66,"Depois do XP, podemos dizer que o Windows 11 é o melhor e mais estável em tão pouco tempo de lançamento??
Parabéns @windowsbr!!
Windows 11 conseguiu e muito bem dar prosseguimento no legado do Windows 10."
67,"@limxttz CS provável, valorant n tá rodando mais no meu PC agora q coloquei Windows 11 nele, meio bizarro isso"
68,"@thsp4wn Atualizei 2 vezes pro Windows 11, não aguentei mais de 1 mês nas 2 vezes, é mt bugado"
69,windows 11 ta lindo mas minha foto de fundo sumiu
70,Taporra perdi meu pc com o windows 7 e já lançaram o 11 😟 parei no tempo mlk https://t.co/gImgNl8Yok
71,@lilcryinggirl Eu coloquei o meu pro Windows 10 dnv pq n me acostumei com o 11
72,Dramático esse Windows 11. https://t.co/LnUzuajUah
73,Nos próximos dias a Microsoft vai resolver o BUG da tela azul que está afetando vários computadores que atualizaram pro Windows 11.
74,"Esse Windows 10/11 é um lixo mesmo, pqp viu
Que merda de sistema!"
75,que ruim essa atualização pro windows 11 hein microsoft
76,depois de 4h atualizando meu pc atualizou pro Windows 11
77,esse windows 11 ta foda
78,Microsoft anuncia novos requisitos para instalação do Windows 11 Pro; veja o que mudou https://t.co/jGcpumSQxK via @Tudo_Celular
79,"Instalei windows 11, um dia depois deu tela azul três dias depois deu tela de restauração, formatei dnv se der pau eu volto pro w10"
80,me arriscando nessa brincadeirinha ai de windows 11 depois trago feedback
81,"@gus33000 @_hausofalexis90 toda vez que entro no perfil desse cara me dá vontade de voltar em 2017 e não ter vendido meu 950XL.
E isso não é um notebook é apenas uma tela e um teclado e touchpad vazios numa carcaça que simula um notebook, o Windows 11 tá rodando no Lumia."
82,@da1suked_ Bolão pra quantos dias ele só vai atualizar pro Windows 11 no fodasse
83,"mano eu mudei pro windows 11 e tipo meu áudio tá uma bosta, alg sabe resolver?"
84,windows 11 transformou meu pc numa batata
85,Como habilitar o agendamento de GPU acelerado por hardware no Windows 11 https://t.co/bTaDtmcWNG
86,@DougDiskin Tenho um Acer que é o melhor custo benefício e é 4K. Lindão pra jogo e trabalho no meu Windows 11. Imagino no mac
87,tô me sentindo um veio por não saber usar o windows 11
88,"ADEUS WINDOWS 11
MUDAR ESTILO WINDOWS 11 DE VOLTA PARA O ESTILO DO WINDOWS 10 OU WINDOWS 7 https://t.co/yn7ChxEbPR

#windows #Windows11"
89,Meu notebook simplesmente me OBRIGOU a instalar o windows 11
90,"Não quebra a corrente não 💞
(mandar do pc pq simplesmente n tenho mais botao de print no cell)
♡ Tela de bloqueio (windows)
♡ Tela inicial
♡  Última música que ouviu
♡  11° Imagem da galeria
~ Marque 5 amigos: @Vini_Orlandi @Xu_linhaaa @G1II1G @CariocaScorpion @tito_thiaguim https://t.co/RiemwoP9DU https://t.co/5DWc08laly"
91,Windows 11: a Microsoft vai arrasar finalmente a concorrência! https://t.co/mg9wQP4rlG https://t.co/MYYyzWmAhr
92,windows 11 presta?
93,E mais uma vez falhei em tentar instalar o Windows 11.
94,eu amo que depois que o notebook atualizou para o Windows 11 ele só 🌟piorou🌟
95,Depois do Windows 11 meu notebook NUNCA mais foi o mesmo 🤡
96,"@Karmacfo Bem vindo ao clube kkkk (se bem que até baixei o Windows 11 mesmo sem ter suporte, o sistema rodava super bem, exceto o fato de que ele comia minha bateria (no 10 dura UM POUCO mais), então fiquei no 10 e só pretendo ir pro 11 quando o suporte acabar ou quando pegar um pc novo.)"
97,"voltando pro windows 10, não aguento mais a cada att do windows 11 ter um bug diferente..."
98,@heyryanf Não sendo windows 11..meu maior arrependimento
99,"Como Duplicar ou Estender Tela no Windows 11 #Shorts

https://t.co/cCF9TFF18G"
100,@blogdiolinux Também está extremamente instável no Windows 11.
101,"Windows 11 tá ok pra usar com wsl2 e docker?

cc: @sseraphini"
102,meu notebook atualizou pro windows 11 é agora q ele explode
103,oq eu vi nesse windows 11: bugs apenas
104,SSD lento no Windows 11? Veja como corrigir https://t.co/hpRUcqXSFt https://t.co/r7y5k0gBQq
105,meu computador ameaçando há pelo menos 6 meses “vou instalar o windows 11 hein ó vou instalar to instalando se liga que hoje eu vou instalar” e não instala nunca!!!!!! baixa essa merda logo porraaaaaa https://t.co/NcoI2PaIUA
106,windows 11 meu ovo
107,e vamos de windows 11
108,Botei o Windows 11 pra instalar e tá indo a 1% por minuto https://t.co/RMrhqGN5O0
109,windows colocando uma arma na minha cabeça pra eu att pro 11 😖😖😖
110,"@vanillia__ Boaaaaa

Mds q estranho ver windows 11"
111,"Lenovo IdeaPad 3 – Laptop de 15.6 Pulgadas, Pantalla FHD, AMD Ryzen 5 5500U, 8 GB de RAM, 512 GB de Almacenamiento, gráficos AMD Radeon 7, Windows 11 Home, Azul Abyss https://t.co/puEuPz1g7A"
112,@Cavalheirojr777 @SF_Moro 171....Nosso Pero Borges Windows 11
113,"@arion_gresser Ficamos felizes que tenha gostado do Windows 11. 
Consulte as dicas de recursos e funcionalidades do Windows 11 que podem facilitar o seu dia a dia:

https://t.co/kLAWZGRtd7

https://t.co/NzxWfQe8pw

Qualquer dúvida, estamos à disposição! 😉"
114,O tema claro do Windows 11 é lindo
115,windows 11 muito lindo
116,@moshiyumi tu nao vai ganhar nada mudando pro windows 11
117,formato um pc pro windows 10 ou 11?
118,@Sanzioh Windows 11 tá muito instável. Assegure-se de fazer backups.
119,As especificações mínimas para executar aplicativos Android no Windows 11 https://t.co/EXwqBl3N6R https://t.co/N5T2iDgcIE
120,As especificações mínimas para executar aplicativos Android no Windows 11 https://t.co/xBq4oMLl2Y https://t.co/es6X9UPfhs
121,pensando em atualizar pro Windows 11 mas medo de dar ruim
122,to atualizando meu notebook pro windows 11 só pela estética do macbook
123,tentando me acostumar com o windows 11
124,vcs ja tao usando windows 11?
125,windows 11 EW bem feio
126,na moral se o Bill Gates continuar mandando atualização pro meu PC ficar lerdo e eu mudar pro Windows 11 eu vou mandar uma bomba no correio dele
127,"O Windows 11 é a bosta do mosquito no cocô do cavalo. Pqp, que negócio ruim do caralho mano https://t.co/LxLHUc9slW"
128,@SemiShirakiin @MarcosHypeu @Isastoro @Karmacfo Tomou tanto soco que foi do windows 7 pro windows 11
129,"""este pc atualmente não atende aos requisitos minimos para executar o Windows 11"" - graças a Deus!"
130,comendo resto de pizza de ontem enquanto atualizo o pc pro Windows 11
131,Eu odeio o windows 11 com toda a minha força
132,eu vou meter o windows 11 mesmo
133,"Pensando em atualizar pro Windows 11, alguem sabe se o pc fica mais pesado? O meu ja trava bastante"
134,"Windows 11 ainda está super incompleto, não mostra a hora nas duas telas, muita coisa bugada, ex grove musica e windows media player continuam tocando a musica mesmo dps de vc fechar"
135,@hannanog_ olha o note em promo: https://t.co/Ufq4n7Y1D9
136,"@beetamag o meu tb tava assim, o windows 10 tem um palhaçada de sobrecarregar o disco rígido do pc e por enquanto com o 11 meu note parou de falar que disco rígico está sendo 100% usado com quase nada aberto"
137,"O único atrativo do Windows 11 pra mim era a promessa de rodasr apps de Android sem intermediários. Finalmente lançaram uma versão de testes na última atualização, mas precisa instalar um negócio da AMAZON. Vou ficar no 10 mesmo."
138,Requisitos para usar aplicações Android em Windows 11 https://t.co/yWKk1rCik0
139,Windows 11 traz de volta recursos básicos da barra de tarefas e menu Iniciar #valeapenaler https://t.co/4mDuva9NEk
140,Como editar vídeos no Windows 11 sem programas extras https://t.co/U1Fi55VPlh https://t.co/uQl5pJylt6
141,instalei o windows 11 sem querer mas já voltando pro 10 pq só vi gente reclamando de bug
142,"Como editar vídeos no Windows 11 sem programas extras

O Windows Fotos é uma ferramenta padrão disponível desde os Windows 8, mas a versão revisada do Windows 10 introduziu editor de vídeos embarcado. O Tecmundo preparou um tutorial sobre como utilizar o… https://t.co/1imAfMmdnO"
143,"@windowsbr Sem dúvidas, mesmo que tenhamos outros sistemas mais avançados e sofisticados, os melhores SO sempre hão de ser o Windows XP e 7, por conta da praticidade e facilidade de uso. Nada contra os outros, eu mesmo uso o 11, mas esses dois aí são os melhores!"
144,Alguém ai ja ta usando o Windows 11??
145,Como editar vídeos no Windows 11 sem programas extras https://t.co/eb7I37K6NJ https://t.co/taoy84Lu6X
146,Como editar vídeos no Windows 11 sem programas extras https://t.co/6O5aedFsBE
147,Como editar vídeos no Windows 11 sem programas extras https://t.co/5Z1eSCRlng
148,Como editar vídeos no Windows 11 sem programas extras https://t.co/cvPxhsUCLS
149,"Microsoft está a tornar a pesquisa do Windows 11 ainda mais rápida

Mesmo com melhorias ao longo dos anos, a pesquisa do Windows nunca foi completamente eficiente ou rápida. Existem alternativas melhores e que os utilizadores acabam por abraçar. A Micros… https://t.co/SaDEB7eSYA https://t.co/HY9qCqxpqF"
150,"Microsoft está a tornar a pesquisa do Windows 11 ainda mais rápida
https://t.co/LeSWFiMNmL https://t.co/B6t0oF9xlg"
151,A saga do Windows 11 continua (os BUGS também) https://t.co/VnhxenORy2
152,Não sei opinar sobre Windows 11
153,"windows 11 eh bem cleanzinho, gostei"
154,nss só agr meu pc foi atualizar pro windows 11
155,@eliisyys @Alastair_sla @kai_kkj agr q vi q tu ta no windows 11
156,"lol o emulador do ps2 diz que o windows 11 eu estou usando na verdade é só uma build do windows 10, comecei a pensar sobre algo, será q o windows 11 realmente é só uma re-skin do windows 10 com algumas coisas diferentes algo q poderia ser uma atualização pro 10? https://t.co/ikv5W1tpkx"
157,@AcerdoBrasil quando Que Meu notebook Nitro 5 vai ter atualização para o Windows 11??? Tô vendo notebook da Xuxa rodando e o meu não …
158,"o novo explorer do windows 11 tem até abas, amei! https://t.co/Pe2Jx4AH8x"
159,"@45_Anonymous_18 Windows 7, mai to 11 pe hu😏"
160,"@pablo_frk @NathanZsl @nenecoxb Eu tbm acho a interface do windows melhor
Aí eles cagaram com alguns aspectos da interface do windows 11"
161,Quase 1 hora da manhã e eu tentando instalar o Windows 11 pqp kkkkk
162,"Notebook Acer Aspire 5 A515-45-R84H amd Ryzen 5 Windows 11 Home 8GB 256GB ssd 15,6' Full HD

Por: R$ 3.077,19
ou R$ 3.419,10 em até 10x sem juros

https://t.co/QleEHjReVQ

Cupom BBB10 apenas no APP Americanas"
163,"Tudo é vírus p esse defender do Windows 11, ta é tirando"
164,"Notebook Lenovo Ultrafino IdeaPad 3 R5-5500U 8GB 256GB ssd Windows 11 15.6 82MF0003BR Prata

Por: R$ 2.829,73
ou R4 3.329,10 em até 10x sem juros

https://t.co/uqoQTsAhnf
https://t.co/uqoQTsAhnf

Cupom BBB10 apenas no APP Americanas"
165,"Instalei o Windows 11 sem expectativa nenhuma e pqp, está extremamente lindo."
166,a triste vida do gay que não vai poder rodar apps android no windows 11
167,"Finalmente a Microsoft divulga os requisitos mínimos para rodar Apps de Android no PC. Nesse vídeo, você aprende como saber se tem um computador compatível com esse novo recurso que chegou ao Windows 11 através da Amazon Appstore: https://t.co/3xKYt64fdX https://t.co/GCvDbksrhU"
168,a att do windows 11 ficou mt chique
169,"@rafaelg2395 Todos os nossos problemas e da maioria dos usuários, ocorreram antes do Windows 11 ser lançado. Por mais que o W11 piore as coisas, o problema ocorre em abrangência, bem antes dele."
170,Como eu instalo um windows 11 em um pc com intel celeron e 4gb ram KKKKKKKKKKKKK
171,Não usem Windows 11. Na moral.
172,"Atualizei meu windows para o 11, vamos ver em quantos dias eu me arrependo dessa decisão"
173,"@fvictor13 @rafaelg2395 Os dois com o mesmo problema, e pelo visto, intensificado pelo Windows 11. Sim sim, o problema está associado a gestão enegética do PB. Já tentou clock fixo? Resolve!"
174,Mano o Windows 11 copiou na cara dura o visual do Linux vey
175,"@vanillia__ estranho voce ter tido que atualizar o BIOS, isso ja deveria ter vindo da loja, se você estiver conseguindo usar ele tenta atualizar drivers, fazer checkup do Windows update, o win 11 ta bem bugado por ser novo"
176,to baixando windows 11 https://t.co/5Cyt9VGCPz
177,"Não tem jeito, Windows é Ruindows, o Software ATEM roda no Mac que é uma beleza, no PC não roda nem a pau, trava, não fecha, é preciso reiniciar. Desinstalo, reinstalo, nada. Windows 11 , computador novíssimo, hardware robusto. Não dá, que merda!"
178,"@vanillia__ N sei mt de computadores, mas uma coisa q vi
O note veio com windows 11 ja ou tu atualizou ele? Pq o 11 apresenta ainda mt problema e nem valeria apena de ter por agora"
179,"@rafaelg2395 @NigroCominotti Os meus problemas de reinicialização só aconteceram no windows 11 de fato. Tenho um 5900x e uso -20 no PBO, vou aumentar pra -15 e verificar se vai continuar as reinicializações. Pelo o q eu entendi é a baixa energia que causa as reinicializações"
180,"@NigroCominotti Já tive reinicialização mas com overclock com donwclock curva negativa -26(limite do meu processador) , mas acontece no Windows 11. No windows 10 não tive esse problema.
 Baixei de -26 para -23 e estou 2 semanas sem problema.(no windows 10 tive isso 1 vezes 3m 2 anos+-)"
181,@ollnesh Windows 11 é bom?
182,"@Tom1ske @brazilianequity Teve atualização do Windows 11 ontem. Eu falei Sim Sr. Bill Gates, pode atualizar."
183,Vsf que esse note pode atualizar pro windows 11 e o meu pc não
184,Instalei o Windows 11. Não dá pra colocar a barra de tarefas na esquerda. Dor...
185,"@grandeleaobravo @Diegojsk @blognaointendo Por conta do trabalho do meu pai, o primeiro PC de casa já era um Windows 95, internet só em 96

O DOS e o Win 3.11 era em uma escola de informática popular do bairro, ainda usava o disquete bolachão"
186,caraca Windows 11 mó bonitinho até
187,TAA ATUALIZANDO SOZINHO PRO WINDOWS 11 ALGUÉM FAZ ALGUMA COISA
188,"Eu vou ser obrigada a pagar uns 300 conto pra botar um ssd no meu lap top da Xuxa.... Misericórdia o bicho já era lento, o windows 11 acabou de ferrar o coitado."
189,"Voltei pro Windows 10 pq o 11 tava cheio de bug, n tenho saco pra isso n"
190,"@grandeleaobravo @Diegojsk @blognaointendo Os primeiros SO que usei foi o DOS limpo e o Windows 3.11 (antes do Windows 95) kkkkk

Até o Windows XP era basicamente internet discada

Baixar álbuns via P2P acabou ficando viável (mais de 12 horas pra baixar uns 250 mb)"
191,"@jfcolares aí é que tá

eu tô no windows 11 ;-;"
192,"atualizei o pc pro windows 11, to gostando"
193,@AkitaOnRails Nesse exato momento em que leio os tweets estou reinstalando o Windows 10 no meu PC que estava com o 11.
194,tentando enfiar o windows 11 no meu PC à base do ódio
195,"#Em breve, a Microsoft forçará usuários Windows 11 Pro a criar uma conta Microsoft e conectar à Internet para processo configuração inicial. Os novos requisitos refletem os Windows 11 Home, exigia uma conexão a Internet e uma conta desde que foi lançado em outubro do ano passado. https://t.co/DGwfgSjiqY"
196,"atualizei pro windows 11, ficou bom, até agora apenas 1 decepção"
197,@Tec_Mundo Windows 11 Mobile a Caminho?
198,"@Brunohaborges Uso a mesma iso há 4 meses, se eu usar essa opção não vai formatar, só vai voltar tudo. Então basicamente vai ficar com o cache do windows 11 armazenado ao invés de limpar realmente."
199,@annaesec No Windows 10 eu tive alguns bugs mas no 11 nunca mais eu tive pepino.
200,"[MAIS LIDAS DA SEMANA] As novas funções do Windows 11 também prometem melhorar a experiência em tablets e notebooks 2 em 1

https://t.co/tmcMNVvDcj"
201,"@OlhosdeLobo Foi sim! Montei um pc do zero com meu pai, compramos tudo na Santa Efigenia. Windows 98 piratão! 🤣 Eu tinha uns 11 anos, por ai."
202,hm windows 11 foi lacre aqui
203,"@Finho_o @JustKateOficial Deem uma procurada. Algumas pessoas sofreram com atualizações no Windows 11. Tomara que vocês consigam normalizar a situação, pois é uma dor de cabeça, principalmente quando se perdem arquivos."
204,"Vou formatar o PC e voltar pro Windows 10 porque tô enjoado do design do Windows 11

Torçam pra que eu não perca o meu mundo survival no Mine."
205,"@messblog #BillGates não tem habilitação profissional em medicina mas está a dar palpites e munição para os #antivaxx ao dizer que os infectados geram imunidade coletiva. Ele devia voltar a dirigir a #pequenamole, talvez conseguisse consertar o Windows 11"
206,fiz a atualização para o windows 11 e está LINDO
207,"Pelo amor do Cnhor, eu to surtando com essa atualização do windows 11, meu notebook parece q ta com delay, vtnc #Microsoft avisa os usuários com SSD"
208,"pc resolveu atualizar hoje pro windows 11 enquanto eu precisava usá-lo, mas tbm quero ver a atualização"
209,Por andar instalando Windows 11 me acabo de levantar
210,@AkitaOnRails Você  deve está usando todos os 2 terabytes que o windows 11 suporta de memoria ram pra ter essa quantidade de aba aberta.
211,"@maxmaccari @AkitaOnRails Eu instalei o Windows 11 do 0, então não sei como está a migração.
Boa sorte"
212,"@AkitaOnRails @EduardoFichtner O principal problema com Windows 11 que deu foi: vínculo com a conta da Microsoft morria e detonava o profile. Eu apagava o perfil, tentava criar um novo e o Windows dizia que aquele usuário já existia."
213,Como usar a barra de borda no Microsoft Edge no Windows 11 https://t.co/8R7IgXSCUa
214,"@AkitaOnRails @EduardoFichtner Já o notebook do meu filho, um i5-11th bem atual, bugou 2x na migração para o Windows 11. Formatei e fiz uma instalação limpa e ficou bom.
Na minha máquina de uso diário, vou ficar com o Windows 10 mais um pouco..."
215,Microsoft está finalmente a focar-se nas melhorias de desempenho do Windows 11 https://t.co/zwzcLuuml3
216,Eu te odeio windows 11 eu te odeio
217,Basta fazer o download do site da Nvidia e instalar sobre os drivers do Windows 11 para foder tudo. Melhor deixar com os drivers que vem no Windows.
218,"NOTÍCIAS MICROSOFT WINDOWS 11 PRO NESTE SÁBADO ÀS 17H:00 NO CANAL D-LYRA INTERATIVO 😉👇🏼👇🏼😉🙂

https://t.co/RhKxRNkt0n"
219,"Vou ter que voltar por Windows 10, bicho. O 11 é bonitinho mas não tá dando."
220,"Você estava na epidemia windows 95, falta 98, Vista, 7, 10, 11... https://t.co/BhDbkbjsht"
221,fiquei procrastinando a nova atualização pro windows 11 achando que eu não ia gostar ou me adaptar... atualizei hj e to gostando
222,"@claudiolealfoto Só as ISO modificada, para tirar coisas irritantes do Windows 11."
223,Como adicionar uma impressora no Windows 11 https://t.co/XkZVDMNJHo
224,"se arrependimento matasse de ter migrado pro windows 11

e agora tô com uma preguiça absurda de fazer backup pra voltar pro 10"
225,PQ EU NAO SEI SUBSTITUIR ARQUIVOS NO WINDOWS 11? PQ DEUS VC ME FEZ TÃO BURRA
226,"@AkitaOnRails Windows 11? Eita. Esse bug rolou no Windows 10 em 2020... MS sendo MS...
https://t.co/50g75ni6aD"
